Target (deg),Pmcs,Avg dy,Total Exp,Avg Trace,Avg Null Depth,Outage Rate
0.25,0.020073929746285874,960.0,469.0,2986.3780177526583,-65.65184331703804,0.0
0.5,0.020073929746285874,960.0,469.0,2986.3780177526583,-65.65184331703804,0.0
0.75,0.02994678417422502,840.0,421.0,3047.917634739173,-65.25725726569586,0.0
1.0,0.04467535224604162,720.0,373.0,3157.74264567627,-64.52419259571047,0.0
1.25,0.06664779385646828,600.0,325.0,3338.539394206325,-63.240747487411326,0.0
1.5,0.07615382279861033,560.0,309.0,3363.336613127085,-62.148312614806756,0.0
2.0,0.07615382279861033,560.0,309.0,3363.336613127085,-62.148312614806756,0.0
2.5,0.07615382279861033,560.0,309.0,3363.336613127085,-62.148312614806756,0.0
3.0,0.07615382279861033,560.0,309.0,3363.336613127085,-62.148312614806756,0.0
