Sweep Parameter,Value,Pmcs,Avg dy,Total Exp,Avg Null Depth,Avg Outage
Calib Error,0.0,0.12558028295377865,280.0,197.0,-55.258145124752524,0.03648122129632193
Calib Error,0.05,0.10593907092436605,320.0,213.0,-55.809943753163246,0.03991283837065336
Calib Error,0.1,0.08143104108456369,320.0,213.0,-55.18304415220566,0.061397679991397655
Calib Error,0.15,0.03754004724164938,320.0,213.0,-54.41064030220648,0.1012726340208056
Calib Error,0.2,0.0062505980495055295,360.0,229.0,-54.733385166754125,0.12677303515514735
Calib Error,0.25,0.0002592803729568841,360.0,229.0,-54.15856461029598,0.136095315089245
Calib Error,0.3,0.0,360.0,229.0,-53.47061188361971,0.1509994065164088
