Scheme,Outage Rate,Avg Null Depth,Avg dy,dy_saved,Total Exp,Exp_saved,Pmcs
No_Div,0.03907851394198626,-63.90232948561336,600.0,0.0,325.0,0.0,0.044298295932642
SC_L2,0.004775213411983583,-62.826443365940975,560.0,40.0,309.0,16.0,0.07258308998725212
EGC_L2,0.004792853834144795,-62.826443365940975,560.0,40.0,309.0,16.0,0.0725701231230811
MRC_L2,0.0024839916554715404,-62.826443365940975,560.0,40.0,309.0,16.0,0.07428005042927123
MRC_L4,0.00033730932825406514,-60.25476319817422,480.0,120.0,277.0,48.0,0.09909172122715337
